,_id,author,location
197,1412199110224990209,820431428835885059,"Sydney, New South Wales"
198,1412199136628117510,712289862,"Sydney, New South Wales"
199,1412199230165471235,4648031797,"Sydney, New South Wales"
200,1412199238277160960,986547616845447168,"Sydney, New South Wales"
201,1412199315288645633,820431428835885059,"Sydney, New South Wales"
202,1412199377859272708,74127259,"Sydney, New South Wales"
203,1412199410214207491,4648031797,"Sydney, New South Wales"
204,1412199416333668353,95590641,"Sydney, New South Wales"
205,1412199420553138200,111767120,"Sydney, New South Wales"
206,1412199504758022144,820431428835885059,"Sydney, New South Wales"
207,1412199532306313232,986547616845447168,"Sydney, New South Wales"
208,1412199576182853632,4648031797,"Sydney, New South Wales"
209,1412199577118154752,10482452,"Sydney, New South Wales"
210,1412199578984607744,563679140,"Sydney, New South Wales"
211,1412194466174144518,2208032372,"Sydney, New South Wales"
212,1412195366842159108,337351696,"Sydney, New South Wales"
213,1412184962346848266,1106696375809409024,"Sydney, New South Wales"
214,1412185471287906305,1106696375809409024,"Sydney, New South Wales"
215,1412191269602791431,129721935,"Sydney, New South Wales"
216,1412198826782298121,33714824,"Sydney, New South Wales"
217,1412189618011709440,1347359035,"Sydney, New South Wales"
218,1412186013699493891,145941582,"Sydney, New South Wales"
219,1412192763320274953,940868397528698880,"Sydney, New South Wales"
220,1412199463540559873,940868397528698880,"Sydney, New South Wales"
221,1412190575109935108,342046923,"Sydney, New South Wales"
222,1412190760896667651,38359893,"Sydney, New South Wales"
223,1412185801681604614,99474446,"Sydney, New South Wales"
224,1412186139880935426,99474446,"Sydney, New South Wales"
225,1412185231692484609,239673025,"Sydney, New South Wales"
226,1412186042556248069,384233102,"Sydney, New South Wales"
227,1412186161435451395,384233102,"Sydney, New South Wales"
228,1412186317920759810,384233102,"Sydney, New South Wales"
229,1412189262200537089,531874041,"Sydney, New South Wales"
230,1412192916525576193,89570289,"Sydney, New South Wales"
231,1412193603040866305,156677140,"Sydney, New South Wales"
232,1412193930683158529,384233102,"Sydney, New South Wales"
233,1412194673213378562,89570289,"Sydney, New South Wales"
234,1412194683011297281,25287056,"Sydney, New South Wales"
235,1412194696990912512,337351696,"Sydney, New South Wales"
236,1412194716590870539,14742411,"Sydney, New South Wales"
237,1412195420936146952,384233102,"Sydney, New South Wales"
238,1412196012957966338,1229715153802817536,"Sydney, New South Wales"
239,1412196250527571972,68021298,"Sydney, New South Wales"
240,1412196596784107537,156677140,"Sydney, New South Wales"
241,1412197635121811456,68021298,"Sydney, New South Wales"
242,1412198293812043779,820431428835885059,"Sydney, New South Wales"
243,1412195352111943689,27752149,"Bathurst, New South Wales"
244,1412193398346371078,237690511,"Byron Bay, New South Wales"
245,1412190152332480528,887915916700262400,"Cambewarra Village, New South Wales"
246,1412186216267583500,887915916700262400,"Cambewarra Village, New South Wales"
247,1412191784923369484,121318665,"Coffs Harbour, New South Wales"
248,1412192269017370626,121318665,"Coffs Harbour, New South Wales"
249,1412194604573773828,466431501,"Coffs Harbour, New South Wales"
250,1412194525385162752,1367516293,"Gloucester, New South Wales"
251,1412185161622441984,1974086167,"Helensburgh, New South Wales"
252,1412191372677844992,1974086167,"Helensburgh, New South Wales"
253,1412192442615402500,1974086167,"Helensburgh, New South Wales"
254,1412197129100034048,1974086167,"Helensburgh, New South Wales"
255,1412185961224556545,1164618737099534336,"Kempsey, New South Wales"
256,1412190145596444672,203769173,"Kempsey, New South Wales"
257,1412190872968384515,1164618737099534336,"Kempsey, New South Wales"
258,1412191271012036608,161237285,"Kempsey, New South Wales"
259,1412192024514629633,1164618737099534336,"Kempsey, New South Wales"
260,1412193362468229122,1164618737099534336,"Kempsey, New South Wales"
261,1412192685071355905,1956404546,"Manilla, New South Wales"
262,1412191456056340481,1956404546,"Manilla, New South Wales"
263,1412190098498588681,3573538936,Murwillumbah
264,1412190618185396224,1080305226328956928,"Newcastle, New South Wales"
265,1412190678147162113,4721692537,"Newcastle, New South Wales"
266,1412191432945766416,1080305226328956928,"Newcastle, New South Wales"
267,1412191713536380930,327329326,"Newcastle, New South Wales"
268,1412191723086774273,143009202,"Newcastle, New South Wales"
269,1412191784755621891,1080305226328956928,"Newcastle, New South Wales"
270,1412193282675728385,1080305226328956928,"Newcastle, New South Wales"
271,1412194676342288385,179820519,"Newcastle, New South Wales"
272,1412194924754137088,1123395213433556992,"Newcastle, New South Wales"
273,1412195330230128641,1123395213433556992,"Newcastle, New South Wales"
274,1412195610669682696,1123395213433556992,"Newcastle, New South Wales"
275,1412196850946347013,1123395213433556992,"Newcastle, New South Wales"
276,1412197506293764108,787620336502136832,"Newcastle, New South Wales"
277,1412197664771297282,1080305226328956928,"Newcastle, New South Wales"
278,1412197895047110657,262023521,"Newcastle, New South Wales"
279,1412198618530910215,1181146627,"Newcastle, New South Wales"
280,1412198948215787521,1181146627,"Newcastle, New South Wales"
281,1412185825828229121,388129974,"Queanbeyan, New South Wales"
282,1412186286035636224,388129974,"Queanbeyan, New South Wales"
283,1412191383343882240,388129974,"Queanbeyan, New South Wales"
284,1412192413620195329,23501556,"Tamworth, New South Wales"
285,1412197664901505030,20961032,"Toronto, Ontario"
286,1412198446694551563,20961032,"Toronto, Ontario"
287,1412198633689255939,20961032,"Toronto, Ontario"
288,1412193816224796678,1302491565336616968,"Tweed Heads, New South Wales"
289,1412198316054482948,594185905,"Whitton, New South Wales"
290,1412198509843910672,594185905,"Whitton, New South Wales"
291,1412189530195591171,1616540347,"Wollongong, New South Wales"
292,1412192218958336001,1262510738125385728,"Wollongong, New South Wales"
293,1412198005751513089,1666994720,"Wollongong, New South Wales"
294,1412190583817265155,1262510738125385728,"Wollongong, New South Wales"
295,1412199158534922240,1666994720,"Wollongong, New South Wales"
296,1412185495199617025,1377368941060759554,"Torquay - Jan Juc, Victoria"
297,1412185893025112064,1042272442603855872,"Victoria, Australia"
298,1412189776837550086,2780377073,"Shepparton - Mooroopna, Victoria"
299,1412189836245495808,2780377073,"Shepparton - Mooroopna, Victoria"
300,1412191000869556224,821094714,"Victoria, Australia"
301,1412191568748892161,2887713523,"Victoria, Australia"
302,1412192163371229185,2887713523,"Victoria, Australia"
303,1412192709452857347,2887713523,"Victoria, Australia"
304,1412192587054682112,616163385,"Gisborne, Victoria"
305,1412199607895920647,616163385,"Gisborne, Victoria"
306,1412185107469844481,23878874,"Melbourne, Victoria"
307,1412197153120784404,233782487,"Melbourne, Victoria"
308,1412197843046072321,233782487,"Melbourne, Victoria"
309,1412198558351036432,233782487,"Melbourne, Victoria"
310,1412185243688136706,99367063,"Melbourne, Victoria"
311,1412185374617571328,504138323,"Melbourne, Victoria"
312,1412185414400675842,942021506036514816,"Melbourne, Victoria"
313,1412185491328413696,276238299,"Melbourne, Victoria"
314,1412185605287514126,963289553682317313,"Melbourne, Victoria"
315,1412185752880832513,303524325,"Melbourne, Victoria"
316,1412185814340050950,303524325,"Melbourne, Victoria"
317,1412185900449075204,99367063,"Melbourne, Victoria"
318,1412185945336516608,193529663,"Melbourne, Victoria"
319,1412186235020492803,142262870,"Melbourne, Victoria"
320,1412186236689735687,22535265,"Melbourne, Victoria"
321,1412186290687152128,140421021,"Melbourne, Victoria"
322,1412186292989796356,138294089,"Melbourne, Victoria"
323,1412186324719702018,193529663,"Melbourne, Victoria"
324,1412186404910600195,1112333457063968769,"Melbourne, Victoria"
325,1412186464822075394,882079203025231873,"Melbourne, Victoria"
326,1412189235591880707,59431369,"Melbourne, Victoria"
327,1412189302352748548,2154128851,"Melbourne, Victoria"
328,1412189347621658625,24347504,"Melbourne, Victoria"
329,1412189389858369539,99367063,"Melbourne, Victoria"
330,1412189529679663115,138294089,"Melbourne, Victoria"
331,1412189631357931520,1278098204966313985,"Melbourne, Victoria"
332,1412189682507517962,809650903800156160,"Melbourne, Victoria"
333,1412189720889610240,66652095,"Melbourne, Victoria"
334,1412189766284496898,1080755508653346817,"Melbourne, Victoria"
335,1412189961957351426,22872872,"Melbourne, Victoria"
336,1412190080060428288,53340146,"Melbourne, Victoria"
337,1412190650733191168,420142099,"Melbourne, Victoria"
338,1412190676247138305,49601508,"Melbourne, Victoria"
339,1412190854492557312,293886497,"Melbourne, Victoria"
340,1412190974894215169,332638465,"Melbourne, Victoria"
341,1412191147649208331,809650903800156160,"Melbourne, Victoria"
342,1412191192192720896,99367063,"Melbourne, Victoria"
343,1412191197469151238,253412979,"Melbourne, Victoria"
344,1412191584557297668,1132829833468174336,"Melbourne, Victoria"
345,1412191608775184387,1054035642,"Melbourne, Victoria"
346,1412191633999728655,23878874,"Melbourne, Victoria"
347,1412191909305405441,1132829833468174336,"Melbourne, Victoria"
348,1412191969867010066,1447832490,"Melbourne, Victoria"
349,1412192024225140737,99367063,"Melbourne, Victoria"
350,1412192191867277314,78533009,"Melbourne, Victoria"
351,1412192234976342016,2569994520,"Melbourne, Victoria"
352,1412192535636635648,935936493201305601,"Melbourne, Victoria"
353,1412192816906702876,332638465,"Melbourne, Victoria"
354,1412192887702360079,935936493201305601,"Melbourne, Victoria"
355,1412193079818260501,935936493201305601,"Melbourne, Victoria"
356,1412193467690741761,16575102,"Melbourne, Victoria"
357,1412193512787873799,2555478498,"Melbourne, Victoria"
358,1412193537089708035,2596255754,"Melbourne, Victoria"
359,1412193611022843906,350663480,"Melbourne, Victoria"
360,1412193612335489028,1264385409754132480,"Melbourne, Victoria"
361,1412193899674746881,318830775,"Melbourne, Victoria"
362,1412193949515599873,99367063,"Melbourne, Victoria"
363,1412193980486324248,1652439061,"Melbourne, Victoria"
364,1412194474759884805,1170132542265032705,"Melbourne, Victoria"
365,1412194519504719886,35732805,"Melbourne, Victoria"
366,1412194693312516100,1279612323976511488,"Melbourne, Victoria"
367,1412194762522693642,99367063,"Melbourne, Victoria"
368,1412194867065856003,205643807,"Melbourne, Victoria"
369,1412194936846385156,205643807,"Melbourne, Victoria"
370,1412194971805917186,108740184,"Melbourne, Victoria"
371,1412194986863456258,613584316,"Melbourne, Victoria"
372,1412195083433086981,2547074196,"Melbourne, Victoria"
373,1412195094132756480,1652439061,"Melbourne, Victoria"
374,1412195258595610625,401237384,"Melbourne, Victoria"
375,1412195312928657408,103918166,"Melbourne, Victoria"
376,1412195377235709952,99367063,"Melbourne, Victoria"
377,1412195387327213570,24347504,"Melbourne, Victoria"
378,1412195568437272578,2402502044,"Melbourne, Victoria"
379,1412195614608093185,613584316,"Melbourne, Victoria"
380,1412195822037454848,401237384,"Melbourne, Victoria"
381,1412195918883917825,1346041125753131009,"Melbourne, Victoria"
382,1412195968947130370,613584316,"Melbourne, Victoria"
383,1412196151688785921,1054035642,"Melbourne, Victoria"
384,1412196500549996566,104725941,"Melbourne, Victoria"
385,1412196589813178368,836124273731235840,"Melbourne, Victoria"
386,1412196751461687297,3589942153,"Melbourne, Victoria"
387,1412197024615698436,99367063,"Melbourne, Victoria"
388,1412197176814407693,38177628,"Melbourne, Victoria"
389,1412197203163058176,1081812860181741568,"Melbourne, Victoria"
390,1412197227305439247,21634836,"Melbourne, Victoria"
391,1412197272020914177,1054035642,"Melbourne, Victoria"
392,1412197287359483906,1706050560,"Melbourne, Victoria"
393,1412197564229644289,412591867,"Melbourne, Victoria"
394,1412197681997369346,1264385409754132480,"Melbourne, Victoria"
395,1412198022625169412,4515,"Melbourne, Victoria"
396,1412198487224066048,504138323,"Melbourne, Victoria"
397,1412198496979980308,860726805937782785,"Melbourne, Victoria"
398,1412198572494188545,750194110405849088,"Melbourne, Victoria"
399,1412198672729735168,35647327,"Melbourne, Victoria"
400,1412198745001713666,297148960,"Melbourne, Victoria"
401,1412198747329597444,1346041125753131009,"Melbourne, Victoria"
402,1412199034073227264,401237384,"Melbourne, Victoria"
403,1412199491281645569,1014494252150091776,"Melbourne, Victoria"
404,1412195062906200072,227912977,"Melbourne, Victoria"
405,1412192776041627652,935936493201305601,"Melbourne, Victoria"
406,1412192612904181760,935936493201305601,"Melbourne, Victoria"
407,1412192999908384770,935936493201305601,"Melbourne, Victoria"
408,1412198472032264193,1013619333778378752,"Melbourne, Victoria"
409,1412198965433356291,1013619333778378752,"Melbourne, Victoria"
410,1412189328847998983,1195861774492291074,"Melbourne, Victoria"
411,1412192623591190531,1318063233513631745,"Melbourne, Victoria"
412,1412194021355651076,1118764837197082624,"Melbourne, Victoria"
413,1412194815597449220,1118764837197082624,"Melbourne, Victoria"
414,1412197176915070985,1195861774492291074,"Melbourne, Victoria"
415,1412198579955896321,844136363813298180,"Melbourne, Victoria"
416,1412191899922800644,72373,"Melbourne, Victoria"
417,1412185063098261505,82661719,"Melbourne, Victoria"
418,1412197940974653450,82661719,"Melbourne, Victoria"
419,1412192448298639362,24500622,"Melbourne, Victoria"
420,1412192491684601856,935936493201305601,"Melbourne, Victoria"
421,1412197333823934466,2784614142,"Melbourne, Victoria"
422,1412190230451392522,538739720,"Melbourne, Victoria"
423,1412199567576076298,1372450730,"Melbourne, Victoria"
424,1412185688095617024,25664945,"Melbourne, Victoria"
425,1412185923345805312,341996139,"Melbourne, Victoria"
426,1412189490282524674,53340146,"Melbourne, Victoria"
427,1412190518251978752,751310637066702848,"Melbourne, Victoria"
428,1412191010193506304,176522431,"Melbourne, Victoria"
429,1412191321851240450,1360470194989109248,"Melbourne, Victoria"
430,1412185070224351232,113000840,"Melton, Victoria"
431,1412186486762401792,27387160,"Pakenham, Victoria"
432,1412192582470275091,66652095,"Scoresby, Melbourne"
433,1412197503890427919,1577388290,"Sunbury, Victoria"
434,1412199242467184646,830824554,"Sunshine, Melbourne"
435,1412186342100914176,76908648,"Windsor, Melbourne"
436,1412197564707790849,742654800,"Anglesea, Victoria"
437,1412189316093120516,897304570736410624,"Ballarat, Victoria"
438,1412189372389068815,897304570736410624,"Ballarat, Victoria"
439,1412190367852675077,1298290936779124739,"Bendigo, Victoria"
440,1412192583825072129,66323014,"Bendigo, Victoria"
441,1412184905056849921,1418109475,"Geelong, Victoria"
442,1412185106098253826,1418109475,"Geelong, Victoria"
443,1412190943885725706,1130427722574942208,"Geelong, Victoria"
444,1412195694677430272,1312007793008799744,"Geelong, Victoria"
445,1412195835924779013,2149938104,"Geelong, Victoria"
446,1412196755832139779,1312007793008799744,"Geelong, Victoria"
447,1412199147399090176,1016604071795384320,"Kilmore, Victoria"
448,1412199289128816649,1016604071795384320,"Kilmore, Victoria"
449,1412184842154872845,1412006184626708484,"Mansfield, Victoria"
450,1412199379436376078,256396226,"Wangaratta, Victoria"
451,1412199109268672520,932875050,"Warrnambool, Victoria"
452,1412194689814433795,279323894,"Gold Coast, Queensland"
453,1412195489424936967,279323894,"Gold Coast, Queensland"
454,1412195916941955078,279323894,"Gold Coast, Queensland"
455,1412196284329385984,279323894,"Gold Coast, Queensland"
456,1412197070522355719,279323894,"Gold Coast, Queensland"
457,1412197148578385928,279323894,"Gold Coast, Queensland"
458,1412197268413829120,279323894,"Gold Coast, Queensland"
459,1412197461146275848,279323894,"Gold Coast, Queensland"
460,1412197779263291392,279323894,"Gold Coast, Queensland"
461,1412198822839652357,279323894,"Gold Coast, Queensland"
462,1412184985503600640,1237258822965575680,"Sunshine Coast, Queensland"
463,1412185045125636096,1318694962813308928,"Gold Coast, Queensland"
464,1412185962549972994,1244795045934280704,"Sunshine Coast, Queensland"
465,1412185985304055809,41924860,"Gold Coast, Queensland"
466,1412186329190862849,1403081742324432898,"Sunshine Coast, Queensland"
467,1412189365569163268,1318694962813308928,"Gold Coast, Queensland"
468,1412189653168500745,738305389729439744,"Gold Coast, Queensland"
469,1412189661338824704,1237258822965575680,"Sunshine Coast, Queensland"
470,1412189887109898241,536193464,"Sunshine Coast, Queensland"
471,1412189926150443016,3113111159,"Gold Coast, Queensland"
472,1412189949747601410,1244795045934280704,"Sunshine Coast, Queensland"
473,1412189951278518274,1244795045934280704,"Sunshine Coast, Queensland"
474,1412190051799207952,852317652764606464,"Queensland, Australia"
475,1412191056108523526,3113111159,"Gold Coast, Queensland"
476,1412191107413254144,958999939358408704,"Rockhampton, Queensland"
477,1412191189898457088,1354561078231846913,"Gold Coast, Queensland"
478,1412191634343661583,86018423,"Queensland, Australia"
479,1412191785275715586,1244795045934280704,"Sunshine Coast, Queensland"
480,1412191889814548480,17023474,"Sunshine Coast, Queensland"
481,1412191914430922752,1244795045934280704,"Sunshine Coast, Queensland"
482,1412191937780584463,1396885794959216640,"Cairns, Queensland"
483,1412192103891800067,1244795045934280704,"Sunshine Coast, Queensland"
484,1412192142672334867,899510647,"Gold Coast, Queensland"
485,1412192271122894848,38366492,"Queensland, Australia"
486,1412192356170801152,3113111159,"Gold Coast, Queensland"
487,1412192482117357570,536193464,"Sunshine Coast, Queensland"
488,1412192752985460736,1244795045934280704,"Sunshine Coast, Queensland"
489,1412192871810101248,852317652764606464,"Queensland, Australia"
